iter	Passed	Remaining
137	2755	17214
138	2771	17165
139	2789	17133
140	2806	17098
141	2821	17045
142	2836	17002
143	2852	16959
144	2868	16912
145	2883	16867
146	2899	16827
147	2915	16782
148	2930	16738
149	2947	16704
150	2965	16675
151	2981	16633
152	2999	16602
153	3016	16571
154	3034	16541
155	3054	16524
156	3069	16479
157	3082	16426
158	3096	16378
159	3111	16334
160	3126	16290
161	3148	16289
162	3180	16330
163	3204	16333
164	3229	16343
165	3251	16338
166	3273	16329
167	3301	16351
168	3322	16335
169	3338	16301
170	3355	16267
171	3377	16260
172	3401	16259
173	3424	16255
174	3446	16245
175	3466	16230
176	3488	16221
177	3510	16213
178	3531	16198
179	3550	16175
180	3570	16156
181	3590	16138
182	3614	16135
183	3640	16146
184	3662	16133
185	3683	16119
186	3704	16106
187	3727	16098
188	3750	16094
189	3772	16082
190	3800	16098
191	3820	16078
192	3840	16058
193	3862	16048
194	3883	16032
195	3902	16008
196	3925	16001
197	3947	15990
198	3964	15956
199	3978	15915
200	4019	15979
201	4034	15939
202	4049	15898
203	4065	15862
204	4080	15822
205	4094	15783
206	4110	15745
207	4127	15714
208	4143	15681
209	4159	15646
210	4177	15619
211	4195	15594
212	4211	15562
213	4230	15539
214	4248	15510
215	4264	15479
216	4288	15472
217	4305	15445
218	4319	15405
219	4333	15365
220	4348	15327
221	4366	15300
222	4382	15271
223	4397	15233
224	4415	15207
225	4429	15171
226	4444	15134
227	4459	15098
228	4474	15063
229	4488	15027
230	4503	14991
231	4518	14956
232	4531	14916
233	4546	14883
234	4562	14852
235	4577	14819
236	4596	14796
237	4612	14766
238	4627	14735
239	4644	14707
240	4661	14680
241	4676	14648
242	4691	14615
243	4706	14581
244	4722	14553
245	4739	14525
246	4759	14508
247	4778	14489
248	4796	14467
249	4817	14451
250	4833	14423
251	4849	14394
252	4864	14361
253	4878	14327
254	4892	14294
255	4909	14266
256	4932	14260
257	4952	14242
258	4973	14228
259	4993	14212
260	5012	14191
261	5031	14172
262	5048	14145
263	5064	14119
264	5081	14094
265	5099	14071
266	5115	14044
267	5133	14020
268	5150	13996
269	5166	13969
270	5182	13941
271	5197	13912
272	5215	13888
273	5230	13859
274	5246	13832
275	5262	13804
276	5281	13785
277	5295	13752
278	5308	13718
279	5321	13684
280	5335	13651
281	5349	13620
282	5367	13598
283	5381	13568
284	5396	13538
285	5412	13512
286	5428	13486
287	5447	13467
288	5464	13443
289	5481	13419
290	5499	13399
291	5520	13384
292	5540	13368
293	5559	13351
294	5580	13335
295	5599	13317
296	5618	13300
297	5641	13289
298	5663	13278
299	5683	13261
300	5702	13242
301	5720	13220
302	5736	13196
303	5752	13170
304	5767	13141
305	5781	13111
306	5795	13082
307	5809	13053
308	5824	13025
309	5840	12998
310	5857	12976
311	5875	12955
312	5896	12943
313	5915	12923
314	5932	12900
315	5948	12875
316	5961	12843
317	5974	12813
318	5989	12786
319	6005	12762
320	6020	12735
321	6034	12707
322	6063	12708
323	6085	12696
324	6103	12677
325	6119	12651
326	6134	12625
327	6150	12600
328	6165	12575
329	6182	12553
330	6201	12535
331	6219	12513
332	6238	12495
333	6260	12482
334	6275	12456
335	6289	12429
336	6304	12403
337	6319	12377
338	6334	12352
339	6351	12329
340	6367	12305
341	6384	12283
342	6400	12260
343	6415	12233
344	6430	12209
345	6445	12182
346	6460	12157
347	6476	12133
348	6494	12114
349	6511	12092
350	6527	12069
351	6543	12045
352	6559	12022
353	6575	12000
354	6593	11979
355	6608	11955
356	6625	11933
357	6642	11912
358	6657	11887
359	6680	11876
360	6701	11862
361	6723	11850
362	6743	11833
363	6758	11809
364	6773	11784
365	6789	11760
366	6806	11739
367	6822	11717
368	6841	11699
369	6859	11679
370	6877	11661
371	6905	11657
372	6925	11641
373	6951	11635
374	6974	11624
375	6997	11613
376	7019	11599
377	7040	11584
378	7059	11566
379	7075	11543
380	7091	11521
381	7107	11498
382	7123	11475
383	7141	11455
384	7160	11438
385	7181	11423
386	7197	11400
387	7213	11377
388	7227	11352
389	7244	11330
390	7260	11309
391	7274	11282
392	7312	11293
393	7335	11282
394	7357	11269
395	7378	11254
396	7401	11242
397	7425	11232
398	7449	11221
399	7472	11208
400	7495	11197
401	7517	11182
402	7541	11172
403	7562	11156
404	7583	11140
405	7604	11125
406	7633	11121
407	7657	11110
408	7679	11096
409	7702	11083
410	7726	11072
411	7749	11060
412	7768	11042
413	7787	11022
414	7807	11006
415	7828	10989
416	7844	10967
417	7860	10944
418	7875	10920
419	7890	10896
420	7906	10873
421	7921	10849
422	7935	10824
423	7955	10806
424	8061	10906
425	8098	10911
426	8134	10915
427	8153	10896
428	8171	10876
429	8192	10860
430	8210	10839
431	8229	10820
432	8251	10804
433	8271	10787
434	8288	10766
435	8307	10745
436	8321	10721
437	8336	10696
438	8351	10672
439	8366	10648
440	8381	10624
441	8399	10604
442	8417	10583
443	8433	10560
444	8447	10536
445	8463	10513
446	8477	10488
447	8493	10464
448	8508	10441
449	8525	10419
450	8541	10397
451	8557	10374
452	8575	10354
453	8593	10335
454	8613	10316
455	8632	10298
456	8650	10277
457	8666	10255
458	8682	10233
459	8698	10211
460	8716	10190
461	8733	10170
462	8750	10149
463	8769	10129
464	8790	10113
465	8811	10096
466	8828	10076
467	8844	10053
468	8859	10030
469	8873	10006
470	8891	9986
471	8907	9964
472	8921	9940
473	8937	9917
474	8951	9894
475	8966	9870
476	8981	9847
477	8996	9824
478	9012	9802
479	9029	9781
480	9045	9759
481	9061	9738
482	9077	9716
483	9096	9698
484	9112	9676
485	9129	9655
486	9145	9633
487	9159	9609
488	9174	9587
489	9194	9570
490	9217	9555
491	9243	9543
492	9261	9524
493	9277	9502
494	9292	9479
495	9307	9457
496	9321	9434
497	9336	9411
498	9349	9387
499	9364	9364
500	9382	9344
501	9397	9322
502	9413	9301
503	9428	9278
504	9445	9258
505	9462	9238
506	9479	9217
507	9494	9195
508	9512	9175
509	9528	9154
510	9557	9145
511	9579	9130
512	9603	9116
513	9634	9110
514	9658	9095
515	9690	9089
516	9715	9077
517	9738	9061
518	9756	9041
519	9774	9022
520	9794	9004
521	9819	8991
522	9843	8977
523	9857	8954
524	9873	8933
525	9892	8914
526	9908	8893
527	9923	8870
528	9939	8849
529	9953	8827
530	9969	8805
531	9983	8782
532	9998	8760
533	10013	8738
534	10028	8716
535	10043	8694
536	10059	8673
537	10074	8651
538	10088	8628
539	10102	8605
540	10119	8585
541	10135	8564
542	10151	8543
543	10168	8523
544	10186	8504
545	10210	8490
546	10228	8470
547	10244	8449
548	10258	8427
549	10273	8405
550	10289	8384
551	10304	8363
552	10322	8344
553	10341	8325
554	10356	8303
555	10372	8283
556	10395	8267
557	10419	8253
558	10441	8237
559	10467	8224
560	10490	8208
561	10512	8192
562	10538	8180
563	10560	8163
564	10575	8142
565	10590	8120
566	10604	8098
567	10618	8076
568	10632	8053
569	10645	8031
570	10663	8011
571	10677	7989
572	10692	7968
573	10707	7946
574	10722	7925
575	10737	7904
576	10753	7883
577	10769	7862
578	10782	7840
579	10796	7818
580	10810	7795
581	10824	7774
582	10839	7753
583	10854	7731
584	10869	7710
585	10885	7690
586	10900	7669
587	10917	7649
588	10933	7629
589	10953	7611
590	10976	7596
591	10995	7577
592	11012	7558
593	11026	7536
594	11040	7514
595	11054	7493
596	11070	7472
597	11085	7452
598	11100	7431
599	11117	7411
600	11134	7391
601	11149	7371
602	11170	7354
603	11192	7338
604	11213	7321
605	11243	7310
606	11257	7288
607	11270	7266
608	11285	7245
609	11303	7227
610	11323	7209
611	11337	7187
612	11352	7166
613	11373	7150
614	11389	7130
615	11408	7111
616	11425	7092
617	11441	7071
618	11454	7050
619	11468	7028
620	11482	7007
621	11499	6988
622	11518	6970
623	11533	6949
624	11548	6929
625	11563	6908
626	11580	6889
627	11596	6869
628	11611	6848
629	11628	6829
630	11643	6808
631	11658	6788
632	11673	6768
633	11690	6748
634	11706	6728
635	11726	6711
636	11743	6692
637	11762	6674
638	11786	6658
639	11809	6642
640	11831	6626
641	11853	6610
642	11874	6592
643	11890	6573
644	11905	6552
645	11920	6532
646	11935	6511
647	11951	6492
648	11968	6473
649	11989	6456
650	12008	6437
651	12025	6418
652	12046	6401
653	12065	6383
654	12080	6363
655	12093	6341
656	12107	6320
657	12122	6300
658	12137	6280
659	12156	6262
660	12178	6245
661	12198	6228
662	12215	6208
663	12230	6189
664	12243	6167
665	12258	6147
666	12272	6126
667	12287	6107
668	12303	6087
669	12318	6067
670	12333	6047
671	12348	6027
672	12362	6006
673	12377	5986
674	12391	5966
675	12407	5946
676	12425	5928
677	12441	5908
678	12455	5888
679	12471	5868
680	12498	5854
681	12519	5837
682	12541	5820
683	12559	5802
684	12574	5782
685	12590	5762
686	12605	5743
687	12621	5723
688	12640	5705
689	12657	5686
690	12674	5667
691	12690	5648
692	12705	5628
693	12717	5607
694	12732	5587
695	12746	5567
696	12762	5548
697	12778	5528
698	12795	5509
699	12810	5490
700	12826	5471
701	12844	5452
702	12863	5434
703	12884	5417
704	12905	5400
705	12921	5380
706	12937	5361
707	12952	5342
708	12969	5322
709	12984	5303
710	13001	5284
711	13015	5264
712	13029	5244
713	13044	5225
714	13062	5206
715	13078	5187
716	13093	5167
717	13110	5149
718	13126	5130
719	13141	5110
720	13161	5093
721	13178	5074
722	13197	5056
723	13212	5036
724	13231	5018
725	13246	4999
726	13268	4982
727	13287	4964
728	13304	4945
729	13324	4928
730	13340	4909
731	13355	4889
732	13370	4870
733	13385	4850
734	13400	4831
735	13417	4812
736	13438	4795
737	13460	4778
738	13483	4762
739	13501	4743
740	13537	4731
741	13560	4715
742	13582	4698
743	13604	4681
744	13628	4664
745	13652	4648
746	13681	4633
747	13703	4616
748	13726	4599
749	13749	4583
750	13771	4566
751	13795	4549
752	13818	4532
753	13842	4516
754	13862	4498
755	13878	4479
756	13893	4459
757	13909	4440
758	13925	4421
759	13945	4403
760	13966	4386
761	13983	4367
762	13998	4348
763	14013	4328
764	14027	4309
765	14041	4289
766	14056	4270
767	14073	4251
768	14092	4233
769	14110	4214
770	14125	4195
771	14148	4178
772	14167	4160
773	14184	4141
774	14200	4122
775	14212	4102
776	14229	4084
777	14244	4064
778	14259	4045
779	14275	4026
780	14291	4007
781	14313	3990
782	14329	3971
783	14345	3952
784	14359	3932
785	14373	3913
786	14386	3893
787	14402	3874
788	14417	3855
789	14431	3836
790	14445	3816
791	14459	3797
792	14474	3778
793	14489	3759
794	14506	3740
795	14523	3722
796	14539	3703
797	14554	3684
798	14571	3665
799	14587	3646
800	14605	3628
801	14624	3610
802	14642	3592
803	14659	3573
804	14678	3555
805	14696	3537
806	14714	3519
807	14736	3501
808	14753	3483
809	14767	3464
810	14782	3444
811	14795	3425
812	14810	3406
813	14824	3387
814	14840	3368
815	14853	3349
816	14867	3330
817	14882	3311
818	14897	3292
819	14912	3273
820	14931	3255
821	14947	3236
822	14965	3218
823	14984	3200
824	15001	3182
825	15020	3164
826	15038	3145
827	15059	3128
828	15078	3110
829	15094	3091
830	15108	3072
831	15126	3054
832	15149	3037
833	15166	3018
834	15182	3000
835	15198	2981
836	15214	2962
837	15228	2943
838	15243	2925
839	15259	2906
840	15273	2887
841	15289	2868
842	15304	2850
843	15317	2831
844	15330	2812
845	15345	2793
846	15365	2775
847	15381	2757
848	15396	2738
849	15411	2719
850	15426	2701
851	15442	2682
852	15460	2664
853	15475	2645
854	15490	2627
855	15504	2608
856	15519	2589
857	15541	2572
858	15563	2554
859	15582	2536
860	15605	2519
861	15626	2501
862	15642	2483
863	15657	2464
864	15676	2446
865	15691	2428
866	15705	2409
867	15720	2390
868	15735	2372
869	15750	2353
870	15765	2334
871	15784	2316
872	15798	2298
873	15814	2279
874	15830	2261
875	15845	2243
876	15861	2224
877	15874	2205
878	15890	2187
879	15904	2168
880	15919	2150
881	15933	2131
882	15950	2113
883	15967	2095
884	15985	2077
885	15999	2058
886	16015	2040
887	16030	2021
888	16046	2003
889	16060	1985
890	16074	1966
891	16088	1947
892	16172	1937
893	16230	1924
894	16256	1907
895	16284	1890
896	16309	1872
897	16328	1854
898	16346	1836
899	16360	1817
900	16374	1799
901	16390	1780
902	16406	1762
903	16425	1744
904	16440	1725
905	16455	1707
906	16469	1688
907	16481	1669
908	16495	1651
909	16511	1633
910	16526	1614
911	16542	1596
912	16561	1578
913	16581	1560
914	16596	1541
915	16612	1523
916	16640	1506
917	16670	1489
918	16686	1470
919	16701	1452
920	16715	1433
921	16731	1415
922	16747	1397
923	16764	1378
924	16779	1360
925	16794	1342
926	16810	1323
927	16828	1305
928	16845	1287
929	16860	1269
930	16874	1250
931	16958	1237
932	17011	1221
933	17042	1204
934	17072	1186
935	17089	1168
936	17109	1150
937	17129	1132
938	17145	1113
939	17162	1095
940	17182	1077
941	17197	1058
942	17232	1041
943	17246	1023
944	17262	1004
945	17277	986
946	17295	967
947	17313	949
948	17331	931
949	17348	913
950	17366	894
951	17384	876
952	17405	858
953	17428	840
954	17446	822
955	17467	803
956	17485	785
957	17503	767
958	17518	748
959	17534	730
960	17550	712
961	17592	694
962	17626	677
963	17656	659
964	17681	641
965	17706	623
966	17720	604
967	17734	586
968	17749	567
969	17762	549
970	17779	531
971	17794	512
972	17809	494
973	17826	475
974	17843	457
975	17873	439
976	17896	421
977	17921	403
978	17942	384
979	17961	366
980	17979	348
981	17997	329
982	18017	311
983	18036	293
984	18054	274
985	18072	256
986	18090	238
987	18108	219
988	18124	201
989	18138	183
990	18155	164
991	18171	146
992	18188	128
993	18202	109
994	18217	91
995	18232	73
996	18247	54
997	18272	36
998	18298	18
999	18322	0
