iter	MultiClass
0	2.035734194
1	1.989684165
2	1.950795993
3	1.914208682
4	1.87207241
5	1.843963328
6	1.807207412
7	1.775679207
8	1.746665118
9	1.718146723
10	1.693521066
11	1.670554604
12	1.645054768
13	1.624454118
14	1.603106776
15	1.578618033
16	1.560925475
17	1.542594369
18	1.526001193
19	1.506929017
20	1.489195064
21	1.473758939
22	1.458579808
23	1.440827465
24	1.425266177
25	1.409476529
26	1.396907396
27	1.383616229
28	1.370091089
29	1.356714472
30	1.34381909
31	1.330181058
32	1.31775271
33	1.307051737
34	1.295721762
35	1.284612971
36	1.274574933
37	1.263369488
38	1.253591103
39	1.241772269
40	1.231410955
41	1.22055655
42	1.211510407
43	1.202487528
44	1.192838328
45	1.185624326
46	1.174792237
47	1.165544317
48	1.156127505
49	1.149086767
50	1.140935479
51	1.13122299
52	1.121979259
53	1.113394805
54	1.105075351
55	1.096374835
56	1.088456347
57	1.0807415
58	1.074027082
59	1.06571958
60	1.057830273
61	1.051747595
62	1.046113035
63	1.039101541
64	1.031302092
65	1.023515291
66	1.01627648
67	1.010481035
68	1.002525556
69	0.996321798
70	0.988826348
71	0.9818482896
72	0.9754887948
73	0.9692645847
74	0.9639371009
75	0.9599118531
76	0.9530942729
77	0.9481762976
78	0.9418632018
79	0.936682816
80	0.9308379556
81	0.9242120401
82	0.9166397624
83	0.9097921494
84	0.9032113841
85	0.8969653681
86	0.8913369533
87	0.8865715684
88	0.8809124678
89	0.8751175041
90	0.8689113488
91	0.8634713515
92	0.8590455987
93	0.8536353938
94	0.8492812064
95	0.8427944413
96	0.837825902
97	0.8336779034
98	0.8299655487
99	0.8248125032
100	0.8188290297
101	0.8141713354
102	0.8087496679
103	0.8024770706
104	0.7979882433
105	0.794906226
106	0.7898853758
107	0.7841058521
108	0.7805555026
109	0.7755363056
110	0.7697304428
111	0.7658323307
112	0.7610171252
113	0.7557122622
114	0.7522536075
115	0.7482221753
116	0.7426580145
117	0.7361247213
118	0.7332647408
119	0.7276684244
120	0.7242122392
121	0.720162216
122	0.7141005675
123	0.7092527
